bsym,CustomerID,total_amt,max_amt,min_amt,total_cnt,max_cnt,min_cnt,total_qty,max_qty,min_qty,Country,target,total_amt_grp,n_target,grp
2010-12,15111,288.5,288.5,288.5,1,16,16,106,12,2,UK,0.0,1,1,2
2010-12,15160,158.16,158.16,158.16,1,4,4,84,36,12,UK,0.0,1,1,3
2010-12,15165,487.75,487.75,487.75,1,27,27,160,18,1,UK,0.0,2,1,1
2010-12,15204,316.58,316.58,316.58,1,9,9,258,96,8,UK,0.0,2,1,3
2010-12,15211,383.07,383.07,383.07,1,23,23,117,12,1,UK,0.0,2,1,1
2010-12,15260,420.5,362.5,58.0,2,16,1,254,40,2,UK,0.0,2,1,2
2010-12,15298,397.6,397.6,397.6,1,17,17,286,60,2,UK,1.0,2,0,2
2010-12,15311,2660.01,635.64,134.14,9,34,8,1158,100,1,UK,1.0,3,0,1
2010-12,15312,289.74,289.74,289.74,1,16,16,177,25,4,UK,0.0,1,1,2
2010-12,15332,1661.06,1145.06,15.0,4,25,1,652,48,6,ETC,0.0,3,1,3
2010-12,15353,311.65,311.65,311.65,1,12,12,131,24,2,UK,0.0,2,1,2
2010-12,15356,338.92,195.8,143.12,2,54,49,185,6,1,UK,0.0,2,1,1
2010-12,15361,418.92,418.92,418.92,1,7,7,336,192,12,UK,0.0,2,1,3
2010-12,15363,326.0,326.0,326.0,1,16,16,144,24,2,UK,0.0,2,1,2
2010-12,15380,230.10000000000002,230.10000000000002,230.10000000000002,1,1,1,78,78,78,UK,0.0,1,1,3
2010-12,15392,338.98,338.98,338.98,1,19,19,402,48,6,UK,0.0,2,1,3
2010-12,15394,587.66,587.66,587.66,1,24,24,242,24,2,UK,0.0,2,1,2
2010-12,15426,382.57,382.57,382.57,1,74,74,149,24,1,UK,0.0,2,1,1
2010-12,15454,179.1,179.1,179.1,1,23,23,86,12,1,UK,0.0,1,1,1
2010-12,15498,976.72,525.8,450.92,2,19,9,464,48,4,UK,1.0,3,0,2
2010-12,15527,221.4,221.4,221.4,1,17,17,62,24,1,UK,1.0,1,0,1
2010-12,15555,989.82,620.35,171.04,3,37,26,691,25,1,UK,0.0,3,1,1
2010-12,15574,563.54,349.04,3.75,3,96,1,286,36,1,UK,0.0,2,1,1
2010-12,15605,194.85000000000002,194.85000000000002,194.85000000000002,1,12,12,71,24,2,UK,0.0,1,1,2
2010-12,15640,2711.74,1485.78,333.72,3,55,7,1436,96,1,UK,1.0,3,0,1
2010-12,15649,510.0,510.0,510.0,1,1,1,120,120,120,UK,1.0,2,0,3
2010-12,15660,209.3,209.3,209.3,1,10,10,110,24,2,UK,0.0,1,1,2
2010-12,15694,847.3299999999999,525.93,15.0,3,6,1,192,48,1,UK,1.0,3,0,1
2010-12,15708,317.29,317.29,317.29,1,31,31,121,32,1,UK,1.0,2,0,1
2010-12,15716,529.4,529.4,529.4,1,35,35,429,96,1,UK,0.0,2,1,1
2010-12,15738,329.65000000000003,329.65000000000003,329.65000000000003,1,14,14,255,60,6,UK,1.0,2,0,3
2010-12,15789,351.3,351.3,351.3,1,25,25,438,36,6,UK,0.0,2,1,3
2010-12,15808,2181.4500000000003,1228.4,953.05,2,54,41,746,36,1,UK,1.0,3,0,1
2010-12,15822,440.2,440.2,440.2,1,16,16,160,24,3,UK,0.0,2,1,2
2010-12,15827,190.93,98.18,92.75,2,7,7,109,24,1,UK,1.0,1,0,1
2010-12,15838,957.5,957.5,957.5,1,3,3,550,300,100,UK,0.0,3,1,3
2010-12,15867,555.97,242.92000000000002,111.65,3,43,16,251,25,1,UK,1.0,2,0,1
2010-12,15880,329.03000000000003,329.03000000000003,329.03000000000003,1,95,95,202,24,1,UK,0.0,2,1,1
2010-12,15889,272.07,272.07,272.07,1,57,57,141,24,1,UK,0.0,1,1,1
2010-12,15922,369.5,369.5,369.5,1,11,11,138,36,2,UK,0.0,2,1,2
2010-12,15923,127.08,127.08,127.08,1,21,21,122,48,1,UK,0.0,1,1,1
2010-12,15950,428.82000000000005,428.82000000000005,428.82000000000005,1,28,28,135,23,1,UK,0.0,2,1,1
2010-12,15965,156.19,156.19,156.19,1,16,16,74,12,2,UK,0.0,1,1,2
2010-12,15983,1138.37,430.99,324.72,3,28,24,694,48,1,UK,0.0,3,1,1
2010-12,16011,398.6,237.95,160.65,2,22,16,222,24,1,UK,0.0,2,1,1
2010-12,16019,219.1,219.1,219.1,1,8,8,60,32,2,UK,1.0,1,0,2
2010-12,16037,300.46,300.46,300.46,1,15,15,160,24,2,UK,0.0,1,1,2
2010-12,16062,247.56,247.56,247.56,1,7,7,124,40,6,UK,0.0,1,1,3
2010-12,16065,367.14,367.14,367.14,1,71,71,228,48,1,UK,0.0,2,1,1
2010-12,16083,337.98,337.98,337.98,1,17,17,384,60,10,UK,0.0,2,1,3
2010-12,16098,430.6,430.6,430.6,1,12,12,134,50,2,UK,0.0,2,1,2
2010-12,16134,283.53000000000003,283.53000000000003,283.53000000000003,1,16,16,158,25,4,UK,0.0,1,1,2
2010-12,16186,307.68,307.68,307.68,1,20,20,231,25,3,UK,0.0,2,1,2
2010-12,16203,170.7,170.7,170.7,1,11,11,70,12,4,UK,0.0,1,1,2
2010-12,16210,7000.64,2474.7400000000002,539.2,4,14,6,2950,480,4,UK,1.0,3,0,2
2010-12,16233,147.39999999999998,147.39999999999998,147.39999999999998,1,2,2,12,8,4,UK,1.0,1,0,2
2010-12,16271,133.22,133.22,133.22,1,16,16,128,48,1,UK,0.0,1,1,1
2010-12,16293,378.75,378.75,378.75,1,16,16,189,24,1,UK,0.0,2,1,1
2010-12,16327,535.6,535.6,535.6,1,66,66,392,36,1,UK,1.0,2,0,1
2010-12,16365,368.46,228.6,139.86,2,6,1,137,96,1,UK,0.0,2,1,1
2010-12,16456,787.4,787.4,787.4,1,16,16,392,40,10,UK,0.0,3,1,3
2010-12,16531,92.82,92.82,92.82,1,6,6,74,24,4,UK,1.0,1,0,2
2010-12,16552,95.29,95.29,95.29,1,5,5,39,16,2,UK,0.0,1,1,2
2010-12,16556,310.85,310.85,310.85,1,16,16,187,32,2,UK,0.0,2,1,2
2010-12,16560,332.18,332.18,332.18,1,21,21,173,25,1,UK,0.0,2,1,1
2010-12,16596,120.65,120.65,120.65,1,6,6,47,24,3,UK,0.0,1,1,2
2010-12,16686,351.13,351.13,351.13,1,79,79,313,48,1,UK,0.0,2,1,1
2010-12,16700,336.94,336.94,336.94,1,14,14,238,24,4,UK,1.0,2,0,2
2010-12,16710,519.9200000000001,370.42,149.5,2,53,17,244,24,1,UK,0.0,2,1,1
2010-12,16718,606.0500000000001,606.0500000000001,606.0500000000001,1,41,41,407,48,1,UK,0.0,2,1,1
2010-12,16719,430.73,430.73,430.73,1,44,44,146,25,1,UK,1.0,2,0,1
2010-12,16727,256.32,256.32,256.32,1,41,41,167,12,1,UK,0.0,1,1,1
2010-12,16746,311.64,311.64,311.64,1,11,11,236,60,4,UK,1.0,2,0,2
2010-12,16752,207.5,207.5,207.5,1,9,9,54,12,1,UK,0.0,1,1,1
2010-12,16775,231.9,231.9,231.9,1,18,18,62,12,1,UK,1.0,1,0,1
2010-12,16781,311.25,311.25,311.25,1,17,17,113,24,1,UK,0.0,2,1,1
2010-12,16782,566.04,364.2,201.84,2,46,42,145,14,1,UK,1.0,2,0,1
2010-12,16817,367.3,244.20000000000002,123.1,2,10,5,222,36,2,UK,0.0,2,1,2
2010-12,16858,375.69000000000005,375.69000000000005,375.69000000000005,1,9,9,91,24,2,UK,0.0,2,1,2
2010-12,16873,2157.64,2157.64,2157.64,1,68,68,1040,144,2,UK,0.0,3,1,2
2010-12,16891,217.26,217.26,217.26,1,63,63,86,6,1,UK,0.0,1,1,1
2010-12,16893,145.93,145.93,145.93,1,44,44,62,6,1,UK,0.0,1,1,1
2010-12,16907,179.92000000000002,179.92000000000002,179.92000000000002,1,33,33,67,24,1,UK,0.0,1,1,1
2010-12,16919,540.01,341.65999999999997,198.35,2,43,22,211,24,1,UK,0.0,2,1,1
2010-12,16923,550.5,550.5,550.5,1,47,47,218,24,1,UK,1.0,2,0,1
2010-12,16931,364.66,212.61,152.05,2,40,40,182,6,1,UK,1.0,2,0,1
2010-12,16955,189.1,156.1,33.0,2,6,1,100,48,1,UK,1.0,1,0,1
2010-12,16985,933.3199999999999,933.3199999999999,933.3199999999999,1,18,18,367,96,3,UK,1.0,3,0,2
2010-12,17091,293.45000000000005,293.45000000000005,293.45000000000005,1,13,13,101,24,3,UK,1.0,1,0,2
2010-12,17135,215.57999999999998,215.57999999999998,215.57999999999998,1,9,9,222,48,6,UK,0.0,1,1,3
2010-12,17179,243.0,243.0,243.0,1,20,20,98,16,1,UK,0.0,1,1,1
2010-12,17188,513.64,513.64,513.64,1,6,6,174,48,8,UK,1.0,2,0,3
2010-12,17198,521.66,272.01,249.65,2,52,24,242,36,1,UK,0.0,2,1,1
2010-12,17211,779.71,324.22,182.19,3,33,20,501,48,1,UK,0.0,3,1,1
2010-12,17213,615.85,312.90000000000003,302.95,2,16,15,217,24,2,UK,1.0,2,0,2
2010-12,17228,355.95,183.3,172.65,2,18,12,211,18,2,UK,0.0,2,1,2
2010-12,17230,2760.01,1761.26,0.95,6,22,1,1355,100,1,UK,0.0,3,1,1
2010-12,17236,126.28,126.28,126.28,1,9,9,67,24,1,UK,1.0,1,0,1
2010-12,17243,828.1500000000001,326.7,244.55,3,18,11,281,24,1,UK,1.0,3,0,1
2010-12,17262,268.86,268.86,268.86,1,2,2,74,50,24,UK,0.0,1,1,3
2010-12,17306,324.0,324.0,324.0,1,1,1,1296,1296,1296,UK,1.0,2,0,3
2010-12,17338,767.6,767.6,767.6,1,55,55,336,32,1,UK,1.0,3,0,1
2010-12,17346,235.34,134.11,101.23,2,29,12,133,24,1,UK,0.0,1,1,1
2010-12,17371,92.14,92.14,92.14,1,7,7,39,30,1,UK,0.0,1,1,1
2010-12,17392,271.77,271.77,271.77,1,41,41,178,25,1,UK,0.0,1,1,1
2010-12,17400,424.17,424.17,424.17,1,37,37,250,48,1,UK,0.0,2,1,1
2010-12,17402,459.96999999999997,271.2,188.77,2,23,1,120,80,1,UK,1.0,2,0,1
2010-12,17406,702.1,702.1,702.1,1,19,19,270,32,3,UK,1.0,3,0,2
2010-12,17419,374.27,356.87,17.4,2,18,1,203,24,1,UK,1.0,2,0,1
2010-12,17420,130.85,130.85,130.85,1,7,7,53,12,1,UK,0.0,1,1,1
2010-12,17430,112.6,112.6,112.6,1,5,5,60,24,4,UK,0.0,1,1,2
2010-12,17551,290.34,290.34,290.34,1,39,39,142,24,1,UK,0.0,1,1,1
2010-12,17580,46.85,46.85,46.85,1,3,3,11,4,3,UK,1.0,1,0,2
2010-12,17591,384.3,384.3,384.3,1,67,67,124,12,1,UK,1.0,2,0,1
2010-12,17593,662.9,662.9,662.9,1,26,26,374,60,4,UK,0.0,3,1,2
2010-12,17618,278.98,278.98,278.98,1,41,41,149,10,1,UK,0.0,1,1,1
2010-12,17629,238.65,238.65,238.65,1,11,11,115,24,1,UK,0.0,1,1,1
2010-12,17655,676.1,676.1,676.1,1,9,9,274,80,6,UK,0.0,3,1,3
2010-12,17659,359.95,247.8,112.15,2,12,5,85,12,1,UK,0.0,2,1,1
2010-12,17685,463.02,452.52,10.5,2,12,1,356,120,6,UK,1.0,2,0,3
2010-12,17690,687.9000000000001,279.6,71.4,4,8,4,242,24,2,UK,1.0,3,0,2
2010-12,17732,303.97,303.97,303.97,1,18,18,93,12,1,UK,0.0,1,1,1
2010-12,17757,565.8000000000001,158.0,115.35,4,26,12,251,20,1,UK,1.0,2,0,1
2010-12,17787,736.28,736.28,736.28,1,30,30,356,48,2,UK,1.0,3,0,2
2010-12,17809,1251.5,791.7,34.8,3,13,1,358,100,6,UK,0.0,3,1,3
2010-12,17812,193.29999999999998,193.29999999999998,193.29999999999998,1,27,27,127,24,1,UK,0.0,1,1,1
2010-12,17816,16.21,16.21,16.21,1,10,10,16,4,1,UK,0.0,1,1,1
2010-12,17819,980.1199999999999,591.47,388.65,2,12,2,274,48,1,UK,0.0,3,1,1
2010-12,17838,902.86,684.46,218.4,2,29,11,532,48,1,UK,0.0,3,1,1
2010-12,17841,2468.12,647.99,257.95,6,66,29,1052,48,1,UK,1.0,3,0,1
2010-12,17860,226.45000000000002,226.45000000000002,226.45000000000002,1,49,49,93,12,1,UK,0.0,1,1,1
2010-12,17863,384.71999999999997,384.71999999999997,384.71999999999997,1,21,21,276,24,6,UK,0.0,2,1,3
2010-12,17870,326.4,326.4,326.4,1,1,1,128,128,128,UK,0.0,2,1,3
2010-12,17873,204.95,204.95,204.95,1,7,7,117,36,1,UK,0.0,1,1,1
2010-12,17890,463.01,463.01,463.01,1,61,61,330,36,1,UK,1.0,2,0,1
2010-12,17894,515.0,167.01,105.88,4,42,11,221,12,1,UK,1.0,2,0,1
2010-12,17897,410.67,247.33,163.34,2,34,31,151,12,1,UK,0.0,2,1,1
2010-12,17908,232.03,232.03,232.03,1,51,51,169,28,1,UK,0.0,1,1,1
2010-12,17912,288.46,125.56,9.9,4,14,1,180,48,1,UK,0.0,1,1,1
2010-12,17920,674.96,453.46,221.5,2,54,14,279,24,1,UK,1.0,3,0,1
2010-12,17925,244.08,244.08,244.08,1,1,1,72,72,72,UK,0.0,1,1,3
2010-12,17951,409.50000000000006,295.5,114.0,2,5,4,220,48,4,UK,0.0,2,1,2
2010-12,17964,261.76,261.76,261.76,1,35,35,195,48,1,UK,0.0,1,1,1
2010-12,17976,321.79,321.79,321.79,1,56,56,93,6,1,UK,0.0,2,1,1
2010-12,18016,156.65,156.65,156.65,1,19,19,65,12,1,UK,1.0,1,0,1
2010-12,18092,2852.64,1485.72,610.8,3,10,3,896,144,16,UK,1.0,3,0,3
2010-12,18102,27834.61,15885.49,395.76,4,9,1,6695,1008,10,UK,0.0,3,1,3
2010-12,18109,552.75,277.45,275.3,2,14,7,99,16,1,UK,1.0,2,0,1
2010-12,18144,502.65,337.59999999999997,165.04999999999998,2,4,3,319,160,3,UK,1.0,2,0,2
2010-12,18223,501.69,501.69,501.69,1,21,21,195,24,2,UK,1.0,2,0,2
2010-12,18239,438.1,438.1,438.1,1,29,29,208,12,2,UK,1.0,2,0,2
2010-12,18245,365.73,365.73,365.73,1,27,27,297,24,4,UK,1.0,2,0,2
2010-12,18259,376.30000000000007,376.30000000000007,376.30000000000007,1,7,7,116,24,6,UK,0.0,2,1,3
2011-01,12388,431.3,431.3,431.3,1,19,19,204,24,3,ETC,1.0,2,0,2
2011-01,12421,157.45,157.45,157.45,1,11,11,104,24,1,ETC,0.0,1,1,1
2011-01,12471,753.4499999999999,753.4499999999999,753.4499999999999,1,7,7,100,48,3,ETC,1.0,3,0,2
2011-01,12474,599.8,350.4,47.5,3,22,2,289,24,1,ETC,1.0,2,0,1
2011-01,12480,816.25,816.25,816.25,1,42,42,367,12,2,ETC,0.0,3,1,2
2011-01,12489,334.93,334.93,334.93,1,15,15,105,24,2,ETC,0.0,2,1,2
2011-01,12530,387.40000000000003,387.40000000000003,387.40000000000003,1,13,13,95,12,2,ETC,0.0,2,1,2
2011-01,12539,3431.7,1715.85,1715.85,2,93,93,1286,24,1,ETC,0.0,3,1,1
2011-01,12553,700.31,700.31,700.31,1,38,38,446,48,3,ETC,1.0,3,0,2
2011-01,12601,144.26,144.26,144.26,1,9,9,87,12,1,ETC,1.0,1,0,1
2011-01,12643,871.1999999999999,871.1999999999999,871.1999999999999,1,2,2,578,576,2,ETC,0.0,3,1,2
2011-01,12665,63.0,63.0,63.0,1,3,3,37,24,1,ETC,0.0,1,1,1
2011-01,12668,1009.8,1009.8,1009.8,1,50,50,475,36,2,ETC,0.0,3,1,2
2011-01,12673,220.9,220.9,220.9,1,23,23,171,30,1,ETC,0.0,1,1,1
2011-01,12681,2964.42,1238.06,417.54,4,50,18,1588,36,1,ETC,0.0,3,1,1
2011-01,12682,835.11,835.11,835.11,1,40,40,373,24,3,ETC,1.0,3,0,2
2011-01,12712,250.65,250.65,250.65,1,11,11,97,24,2,ETC,1.0,1,0,2
2011-01,12720,279.3,279.3,279.3,1,19,19,182,24,2,ETC,1.0,1,0,2
2011-01,12724,154.9,154.9,154.9,1,11,11,115,24,1,ETC,0.0,1,1,1
2011-01,12726,401.58000000000004,401.58000000000004,401.58000000000004,1,19,19,408,96,2,ETC,0.0,2,1,2
2011-01,12747,303.03999999999996,303.03999999999996,303.03999999999996,1,5,5,88,36,12,UK,0.0,1,1,3
2011-01,12854,389.90000000000003,389.90000000000003,389.90000000000003,1,34,34,162,12,2,UK,0.0,2,1,2
2011-01,12916,807.05,807.05,807.05,1,31,31,313,32,1,UK,0.0,3,1,1
2011-01,12935,431.63,431.63,431.63,1,27,27,325,25,1,UK,0.0,2,1,1
2011-01,12939,1933.2,1933.2,1933.2,1,6,6,552,192,24,UK,1.0,3,0,3
2011-01,12947,301.66,301.66,301.66,1,16,16,235,25,2,UK,0.0,1,1,2
2011-01,12957,413.68,413.68,413.68,1,29,29,352,36,1,UK,0.0,2,1,1
